Title,Author
Jane Eyre,Charlotte Brontë
To the lighthouse,Virginia Woolf
Crime and Punishment,Фёдор Михайлович Достоевский
The witches,Roald Dahl
The Turn of the Screw,Henry James
Death in the Clouds,Agatha Christie
The Fall,Albert Camus
The Hitch Hiker's Guide to the Galaxy,Douglas Adams
Tender Is the Night,F. Scott Fitzgerald
The Secret Garden,"Frances Hodgson Burnett , Francis Hodgson Burnett , Miller, Steve , and Luisa Uribe"
Oliver Twist,Charles Dickens
Prince Caspian,C.S. Lewis
Peter Pan,J. M. Barrie
The Most Dangerous Game,Richard Connell
The Big Four,Agatha Christie
Tess of the d'Urbervilles,Thomas Hardy
Sense and Sensibility,Jane Austen
Lolita,Vladimir Nabokov
Notre Dame de Paris,Victor Hugo
The new Wizard of Oz,L. Frank Baum
"The man who knew too much, and other stories",Gilbert Keith Chesterton
Grimm's fairy tales,Brothers Grimm
Dune,Frank Herbert
The railway children,Edith Nesbit
Notes from the underground,Фёдор Михайлович Достоевский
Memorias Posthumas de Braz Cubas,Joaquim Maria Machado de Assis
Pippi Longstocking,Astrid Lindgren
Murder in Retrospect,Agatha Christie
The Great Gatsby,F. Scott Fitzgerald
The Personal History of David Copperfield,"Charles Dickens , Francesc Ràfolsen , Mary Sebag-Montefiore , Ginger Roberts Brackett , Manuel Rodríguez Navas y Carrasco. , and Jose KING"
Strange case of Dr. Jekyll and Mr. Hyde: with other fables and the misadventures of John Nicholson,Robert Louis Stevenson
The Man Who Was Thursday,Gilbert Keith Chesterton
Frankenstein,Mary Shelley
Flatland,Edwin Abbott Abbott
The Case-Book of Sherlock Holmes,Arthur Conan Doyle
The Princess and the Goblin,George MacDonald
The House of the Spirits,Isabel Allende
The Return of the King: Being the Third Part of The Lord of the Rings,J.R.R. Tolkien
Siddhartha: an Indian tale,Hermann Hesse
This Side of Paradise,F. Scott Fitzgerald
The Return of the Native,Thomas Hardy
Little men: life at Plumfield with Jo's boys,Louisa May Alcott
The Murder of Roger Ackroyd,Agatha Christie
A Portrait of the Artist as a Young Man,James Joyce
The Stranger,Albert Camus
Ivan Ilyitch: and other stories,"Лев Толстой , Anthony Briggs , Anthony Horvath , Constance Garnett (translator) , and Zinc Read"
The Thirty-Nine Steps,John Buchan
Crooked House,Agatha Christie
Murder in Three Acts,Agatha Christie
El túnel,Ernesto Sabato
The Sorrows of Werter: A German Story,Johann Wolfgang von Goethe
Breakfast at Tiffany's: and three stories,Truman Capote
Little House in the Big Woods,"Laura Ingalls Wilder , Garth Williams , Laura Ingalls Wilder , and Laura Ingalls Laura Ingalls Wilder"
Perfume: the story of a murderer,Patrick Süskind
War and peace,Лев Толстой
The Grapes of Wrath,John Steinbeck
To kill a mockingbird,Harper Lee
Fahrenheit 451,Ray Bradbury
Matilda,Roald Dahl
The Island of Doctor Moreau,H. G. Wells
"Goodnight Moon/Buenas Noches, Luna: Bilingual Spanish-English",Margaret Wise Brown
King Solomon's mines,H. Rider Haggard
Heidi,Johanna Spyri
Little women,Louisa May Alcott
The Castle,Franz Kafka
Guess how much I love you,Sam McBratney and Anita Jeram
Twenty thousand leagues under the sea,"Jules Verne , Serge Micheli , and Francois Riviere"
Northanger Abbey,Jane Austen
The Works of Charles Dickens: A Tale of Two Cities,"Charles Dickens , Aedi Abraham , Juan Ramon Torregrosa , Francisco Manuel GRANADO CASTRO , Hablot K. BROWNE , Fred BARNARD , Alejo García Moreno , Salustiano Masó Simón , Juan Ramon Torregrosa Torregrosa , and 10 others"
Uncle Tom's Cabin,Harriet Beecher Stowe
The Metamorphosis,Franz Kafka
Tale of Peter Rabbit,"Beatrix Potter , Blackwell North America. , Jean Little , David Hately , J. K. Jomkhwan , and Lisa McCue"
Brave New World,Aldous Huxley
The Memoirs of Sherlock Holmes,Arthur Conan Doyle
Pinocchio,Carlo Collodi
The Kite Runner,Khaled Hosseini
Of Mice and Men,John Steinbeck
The House of Mirth,Edith Wharton
Doctor Zhivago,Boris Leonidovich Pasternak
"Fathers and sons: a novel, by Ivan Sergheïevitch Turgenef.",Ivan Sergeevich Turgenev
The Call of the Wild,Jack London
Animal Farm,George Orwell
Sleeping Murder,Agatha Christie
The Trial,Franz Kafka
Black Beauty: the autobiography of a horse,Anna Sewell
Anna Karénina,Лев Толстой
The Jungle Book,Rudyard Kipling
The Moving Finger,Agatha Christie
Ten Little Indians,Agatha Christie
The Wind in the Willows,Kenneth Grahame
The moonstone: Volume II,"Wilkie Collins , Pieter Koster , Sandra Kemp , and Andronum"
"The Life and Strange, Surprising Adventures of Robinson Crusoe",Daniel Defoe
For Whom the Bell Tolls,Ernest Hemingway
The two towers,J.R.R. Tolkien
Evil Under the Sun,Agatha Christie
A first-draft version of Finnegans wake.,James Joyce
The Hunger Games,Suzanne Collins
Pride and Prejudice,Jane Austen
A Christmas carol,Charles Dickens
Harry Potter and the Chamber of Secrets,J. K. Rowling
Cooper's The last of the Mohicans,James Fenimore Cooper
The Lost Symbol,Dan Brown
The Hobbit,J.R.R. Tolkien
The Murder at the Vicarage,Agatha Christie
Beloved,Toni Morrison
Lady Chatterley's Lover,David Herbert Lawrence
The Brothers Karamazov,Фёдор Михайлович Достоевский
Catch-22: a critical edition,Joseph Heller
The Da Vinci Code,Dan Brown
Moby Dick,Herman Melville
Where the Wild Things Are,Maurice Sendak
Harry Potter and the Sorcerer's Stone,J. K. Rowling
Middlemarch,George Eliot
Nineteen eighty-four,George Orwell
Dracula,Bram Stoker
Gone With the Wind,Margaret Mitchell
Great Expectations,Charles Dickens and Charles Dickens
The Name of the Rose (including author's postscript),Umberto Eco
Death on the Nile,Agatha Christie
All quiet on the western front,Erich Maria Remarque
Love In the Time of Cholera,Gabriel García Márquez
Ozma of Oz,L. Frank Baum
Memoirs of Hadrian: and reflections on the composition of Memoirs of Hadrian,Marguerite Yourcenar
13 At Dinner,Agatha Christie
The Lord of the Rings,J.R.R. Tolkien
A Caribbean Mystery,Agatha Christie
Northern Lights: His Dark Materials,Philip Pullman
Ernest Hemingway's the Old Man and the Sea (Monarch Notes: A Guide to Understanding the World's Great Writing),Ernest Hemingway
Madame Bovary,Gustave Flaubert
Adventures of Huckleberry Finn,Mark Twain
Through the looking-glass,"Lewis Carroll , Lewis Carroll , and Lewis Lewis Carroll"
The Boy's King Arthur,Thomas Malory
The voyage of the Dawn Treader: a story for children,C.S. Lewis
The Adventures of Tom Sawyer,Mark Twain
Around the World in Eighty Days,Jules Verne
Adventures of Sherlock Holmes,Arthur Conan Doyle
The Catcher in the Rye,J. D. Salinger
The Alchemist,"Paulo Coelho , Hemi Kelly , and Alan R. Clarke"
The Hound of the Baskervilles,Arthur Conan Doyle
Bridge to Terabithia,Katherine Paterson
'Salem's lot,Stephen King
The first part of the delightful history of the most ingenious knight Don Quixote of the Mancha,"Miguel de Cervantes Saavedra , Michael J. Marshall , John Orms, and Anonymous"
A Murder Is Announced,Agatha Christie
Bambi (The Beloved Classic),"Felix Salten , Walt Disney , Benjamin Lacombe , Nicolas Waquet , Christine Palluy , Carine Hinder , Jack Zipes , Weise Kurt , Whittaker Chambers , and 2 others"
Ugly Duckling in Signed English,Hans Christian Andersen
In cold blood,Truman Capote
The Age of Innocence,Edith Wharton
El Principito / The Little Prince,Antoine de Saint-Exupéry
Dubliners,James Joyce
"The Decameron: or, Ten days' entertainment of Boccaccio",Giovanni Boccaccio
The giver,Lois Lowry
The Return of Sherlock Holmes,Arthur Conan Doyle
On the road,Jack Kerouac
The Annotated Charlotte's Web,E. B. White
Carrie,Stephen King
Fantastic Mr Fox: The Play,Roald Dahl
The thoughts of the Emperor M. Aurelius Antoninus,Marcus Aurelius
A Study in Scarlet,"Arthur Conan Doyle , Arthur Doyle , Roger Squires , and David Widger"
Harry Potter and the Order of the Phoenix,J. K. Rowling
Charlie and the Chocolate Factory,Roald Dahl
A Farewell to Arms,Ernest Hemingway
The Jungle,Upton Sinclair
The A.B.C. Murders,Agatha Christie
The good earth,"Pearl S. Buck , Nick Bertozzi , Ruth Goode , Donald F. Roden , Ernst Simon , and Stephen Colbourn"
"The pilgrim's progress, from this world to that which is to come: delivered under the similitude of a dream",John Bunyan
Winnie-the-Pooh,A. A. Milne
Harry Potter and the Deathly Hallows: Hebrew edition,J. K. Rowling
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll
A Wrinkle in Time: Time Quintet #1,Madeleine L'Engle
The Book Thief,Markus Zusak
Twilight,Stephenie Meyer
Murder on the Orient Express,"Agatha Christie , Andrew Sachs , Ken Ludwig , Not Known , Graham Johnson , Bethany Bolton , Jesse Felton , Chalut , and Hal Boffin"
James and the Giant Peach,Roald Dahl
Angels & Demons,Dan Brown
Harry Potter and the Half-Blood Prince,J. K. Rowling and Mary GrandPré
Harry Potter and the Prisoner of Azkaban,J. K. Rowling
One hundred years of solitude,Gabriel García Márquez
Ender's Game,Orson Scott Card
The red badge of courage: an episode of the American Civil War,Stephen Crane
Un cadáver en la biblioteca,Agatha Christie
Lord of the Flies,William Golding
Treasure Island,Robert Louis Stevenson
The Complete Sherlock Holmes,Arthur Conan Doyle
The Idiot,Фёдор Михайлович Достоевский
The BFG,Roald Dahl
Cinquante nuances de Grey,E. L. James
A Clockwork Orange,Anthony Burgess
Heart of Darkness,Joseph Conrad
Harry Potter and the Goblet of Fire,J. K. Rowling and Jim Kay
Twas the night before Christmas: a visit from St. Nicholas,Clement Clarke Moore
Gulliver's travels into several remote regions of the world: in words of one syllable,Jonathan Swift
The razor's edge,William Somerset Maugham
The Subtle Knife,Philip Pullman
The Very Hungry Caterpillar,Eric Carle
The Utopia Of Sir Thomas More,Thomas More
Platonis Apologia Socratis,Πλάτων
The Importance of Being Earnest,Oscar Wilde
Candide,"Voltaire , William Fleming , Philip Littell , and Jack Davenport"
The Guermantes way,Marcel Proust
The Curious Incident of the Dog in the Night-Time,Mark Haddon
The tales of Mother Goose,Charles Perrault
"The shoes of fortune, and other tales",Hans Christian Andersen
Alice's Adventures in Wonderland,Lewis Carroll
Brood of the Witch-queen,Sax Rohmer
Lectures on the philosophy of freemasonry,"Geoffrey Chaucer , John E. Cunningham , Peter Ackroyd , Ted Stearn , V. A. Kolve , and Glending Olson"
Women & fiction: the manuscript versions of A room of one's own,Virginia Woolf
"Salome, a play.",Oscar Wilde
The Confessions of J.J. Rousseau,Jean-Jacques Rousseau
The Iliad of Homer: done into English prose,Όμηρος
Fairy tales and stories,Hans Christian Andersen
Arsène Lupin: Gentleman-Cambrioleur,Maurice Leblanc
"The faerie queene: disposed into XII bookes, fashioning twelue morall vertues.",Edmund Spenser
The Inferno,Dante Alighieri
Shakespeare's Comedy of A Midsummer-Night's Dream,William Shakespeare
"TWELFTH NIGHT, OR, WHAT YOU WILL",William Shakespeare
Bacon's essays,Francis Bacon
A Doll’s House,Henrik Ibsen and Henrik Ibsen
Faust,Johann Wolfgang von Goethe
Life on the Mississippi,Mark Twain
The social cancer,José Rizal
The complete poems of Emily Dickinson,Emily Dickinson
Much Ado About Nothing,William Shakespeare
Misery,Stephen King
As a man thinketh.,James Allen
The Odyssey of Homer,Όμηρος
The Works of William Shakespeare,William Shakespeare
The Republic of Plato,Πλάτων
The alchemist. A comedy. Acted in the year 1610 ...,Ben Jonson
The Book of Tea,Okakura Kakuzo
Elephants Can Remember,Agatha Christie
The Tempest,William Shakespeare
King Lear,William Shakespeare
Nemesis,Agatha Christie
The Kama Sutra of Vatsyayana,Mallanaga Vātsyāyana
Incidents in the Life of a Slave Girl,"Harriet A. Jacobs , Harriet Jacobs , Lydia Maria Child , Francine L. Jacobs , l. maria child , Carolyn L. Karcher , Jacobs , Hans Murray , Carla Fonte Sánchez , and 1 other"
"The family Shakespeare, in one volume: in which nothing is added to the original text, but those words and expressions are omitted which cannot with propriety be read aloud in a family",William Shakespeare
Shakespeare's Julius Caesar,William Shakespeare
The Tragedy of Romeo and Juliet,William Shakespeare
The devil's dictionary,Ambrose Bierce
Ovid's Metamorphoses,Ovid
The Gruffalo,Julia Donaldson
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass
Shakespeare's history of King Henry the Fifth,William Shakespeare
The Taoteh king.,Laozi
Selected poems,Walt Whitman
The Tragedy of Othello: The Moor of Venice,William Shakespeare
Hamlet,William Shakespeare
Walden,Henry David Thoreau
The Prophet,Kahlil Gibran
"Common sense: addressed to the inhabitants of America, on the following interesting subjects : I. Of the origin and design of government in general, with concise remarks on the English Constitution. II. Of monarchy and hereditary succession. III. Thoughts on the present state of American affairs. IV. Of the present ability of America, with some miscellaneous reflections.",Thomas Paine
Antony & Cleopatra,William Shakespeare
Macbeth,William Shakespeare
The Ramayana and the Mahabharata,"Vālmīki , Robert P. Goldman , Rosalind Lefeber , and Sheldon I. Pollock"
Machiavelli,Niccolò Machiavelli
A vindication of the rights of woman: with strictures on political and moral subjects,Mary Wollstonecraft
The Romane historie,Titus Livius
"The interesting narrative of the life of Olaudah Equiano, or Gustavus Vassa, the African","Olaudah Equiano , Robert J. Allison , and Rebecka Rutledge Fisher"
The Souls of Black Folk,"W. E. B. Du Bois , Monica M. Elbert , Walter Covell , Henry Louis Gates, Jr. , Arnold Rampersad , Prentice Onayemi , Shawn Alexander , Eugene F. Provenzo , Slingshot Books , and 4 others"
Confessions of ST. Augustine,Augustine of Hippo
The social contract: Discourses,Jean-Jacques Rousseau
As You Like It,William Shakespeare
The autobiography of Benjamin Franklin,"Benjamin Franklin , Horatio Hastings Weld , Charles W. Eliot , James Zimmerhoff , and Charles Eliot"
The history of Herodotus.,Herodotus
The Sonnets of William Shakespeare,William Shakespeare
The Merchant of Venice,William Shakespeare
The art of war: the oldest military treatise in the world,Sun Tzu
George's Marvelous Medicine,Roald Dahl
Sea Fairies,L. Frank Baum
Cards on the Table,Agatha Christie
Nausea,Jean-Paul Sartre
All's Well That Ends Well,William Shakespeare
The Color Purple,"Alice Walker , Translator Lunine Pierre-Jerome , Alice Walker , and Alice Walker"
Villette,Charlotte Brontë
Watership Down (Puffin Modern Classics),Richard Adams
Foundation,Isaac Asimov
"Tom Sawyer, Detective",Mark Twain
Poems of John Donne,"John Donne , John Booty , and P.G. Stanwood"
The Boy in the Striped Pyjamas,John Boyne
"Red and black: a new translation, backgrounds and sources, criticism.",Stendhal
The story of the amulet,Edith Nesbit
Thus spake Zarathustra: a book for all and none,Friedrich Nietzsche
"I, Robot",Isaac Asimov
Danny The Champion of the World,Roald Dahl
Dorothy and the Wizard in Oz,L. Frank Baum
The Shining,Stephen King
The Pillars of the Earth,Ken Follett
It,Stephen King
Emily of New Moon,Lucy Maud Montgomery
L'incroyable voyage,Sheila Burnford
Howards End,Edward Morgan Forster
The Mammoth Hunters,Jean M. Auel
Amerika: the man who disappeared,Franz Kafka and Ritchie Robertson
The Dark Tower: The Gunslinger,Stephen King
The patriotic murders,Agatha Christie
The firm,John Grisham
Cyrano de Bergerac,Edmond Rostand
diary of a wimpy kid,Jeff Kinney
The Club of Queer Trades,Gilbert Keith Chesterton
The Shadow of the Wind,Carlos Ruiz Zafón
Artemis Fowl,Eoin Colfer
Hallowe'en Party,Agatha Christie
The Sound and the Fury,William Faulkner
Deception Point,Dan Brown
Freed,E. L. James
Jurassic Park: a novel,Michael Crichton
Things Fall Apart,Chinua Achebe
The Color of Magic: A Discworld Novel,Terry Pratchett
The book of the damned,Charles Fort and Charles Fort
Hunger,"Knut Hamsun , George Egerton , M. B. Ruud , Robert Bly , Paul Auster , Julius Sandmeier , Tore Rem , Terence Cave , and Practice Norwegian"
Murder After Hours,Agatha Christie
The Clocks,Agatha Christie
"Mythology: The age of fable, The age of chivalry, Legends of Charlemagne; with dictionary index.",Thomas Bulfinch
Slaughterhouse-Five,Kurt Vonnegut
The Green Mile,Stephen King
Number the Stars,Lois Lowry
The Man in the Iron Mask,Alexandre Dumas
Tropic of Cancer,Henry Miller
The Restaurant at the End of the Universe,Douglas Adams
Aesop's fables: with over one hundred illustrations,Aesop
Vanity Fair,William Makepeace Thackeray
Murder is Easy,Agatha Christie
Virgil's Aeneid: with explanatory notes.,Publius Vergilius Maro
Pet Sematary,Stephen King
Little House on the Prairie,Laura Ingalls Wilder and Garth Williams
Lord Jim,Joseph Conrad
East of Eden,John Steinbeck
The Napoleon of Notting Hill,Gilbert Keith Chesterton
Kentervil'skoe prividenie,Oscar Wilde
Shirley,Charlotte Brontë
Frankenstein: 1818 Text,Mary Shelley
The Clan of the Cave Bear,Jean M. Auel
The blind assassin,Margaret Atwood
Death of a Salesman,Arthur Miller
Third Girl,Agatha Christie
Blade Runner,Philip K. Dick
Tarzan of the Apes,Edgar Rice Burroughs
She,H. Rider Haggard
The rime of the ancient mariner,Samuel Taylor Coleridge
Brideshead revisited: the sacred and profane memories of Captain Charles Ryder,Evelyn Waugh
The Maltese falcon.,Dashiell Hammett
